Ref,Val,Package,PosX,PosY,Rot,Side
"SW1","SW_PUSH","MXOnly-1U-NoLED",57.150000,-28.575000,0.000000,top
"SW2","SW_PUSH","MXOnly-1U-NoLED",76.200000,-28.575000,0.000000,top
"SW3","SW_PUSH","MXOnly-1U-NoLED",95.250000,-28.575000,0.000000,top
"SW4","SW_PUSH","MXOnly-1U-NoLED",38.100000,-47.625000,0.000000,top
"SW5","SW_PUSH","MXOnly-1U-NoLED",57.150000,-47.625000,0.000000,top
"SW6","SW_PUSH","MXOnly-1U-NoLED",76.200000,-47.625000,0.000000,top
"SW7","SW_PUSH","MXOnly-2U-VerticalStabilizers-NoLED",95.250000,-57.150000,0.000000,top
"SW8","SW_PUSH","MXOnly-1U-NoLED",38.100000,-66.675000,0.000000,top
"SW9","SW_PUSH","MXOnly-1U-NoLED",57.150000,-66.675000,0.000000,top
"SW10","SW_PUSH","MXOnly-1U-NoLED",76.200000,-66.675000,0.000000,top
"SW11","SW_PUSH","MXOnly-1U-NoLED",38.100000,-85.725000,0.000000,top
"SW12","SW_PUSH","MXOnly-1U-NoLED",57.150000,-85.725000,0.000000,top
"SW13","SW_PUSH","MXOnly-1U-NoLED",76.200000,-85.725000,0.000000,top
"SW14","SW_PUSH","MXOnly-2U-VerticalStabilizers-NoLED",95.250000,-95.250000,0.000000,top
"SW15","SW_PUSH","MXOnly-2U-NoLED",47.625000,-104.775000,0.000000,top
"SW16","SW_PUSH","MXOnly-1U-NoLED",76.200000,-104.775000,0.000000,top
